2022-09-19 21:33:16 - INFO     | MLFlow URI: http://127.0.0.1:1235
2022-09-19 21:48:41 - WARNING  | Retrying (Retry(total=4, connect=4, read=5, redirect=5, status=5)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffff3f2097f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/2.0/mlflow/experiments/get-by-name?experiment_name=credit
2022-09-19 21:48:45 - WARNING  | Retrying (Retry(total=3, connect=3, read=5, redirect=5, status=5)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffff3f209c10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/2.0/mlflow/experiments/get-by-name?experiment_name=credit
2022-09-19 21:48:53 - WARNING  | Retrying (Retry(total=2, connect=2, read=5, redirect=5, status=5)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffff3f209af0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/2.0/mlflow/experiments/get-by-name?experiment_name=credit
2022-09-19 22:20:35 - INFO     | Splitting training & test datasets
2022-09-19 22:21:04 - INFO     | Best Score: 0.7566610156276207
2022-09-19 22:21:04 - INFO     | Best Params: OrderedDict([('model', RandomForestClassifier(n_estimators=500, random_state=42)), ('prep__non_numeric__encoder__transformer', OneHotEncoder(handle_unknown='ignore')), ('prep__numeric__imputer__transformer', SimpleImputer()), ('prep__numeric__pca__transformer', None), ('prep__numeric__scaler__transformer', None)])
2022-09-19 22:21:17 - INFO     | Finished running experiment (35 seconds)
2022-09-19 22:21:17 - INFO     | Model was put into production: True
2022-09-19 22:21:17 - INFO     | Metric(s): {'roc_auc': 0.7566610156276207}
2022-09-19 22:21:17 - INFO     | Run id: 21b9837df0bf492d8fb03cd3ffac172d
2022-09-19 22:21:17 - INFO     | Experiment id: 1
2022-09-19 22:21:17 - INFO     | Experiment name: credit
2022-09-19 22:21:17 - INFO     | Model name: credit_model
2022-09-19 22:21:17 - INFO     | Model stage: Production
2022-09-19 22:29:04 - INFO     | Metric(s): {'roc_auc': 0.7566610156276207}
2022-09-19 22:29:04 - INFO     | Run id: 21b9837df0bf492d8fb03cd3ffac172d
2022-09-19 22:29:04 - INFO     | Experiment id: 1
2022-09-19 22:29:05 - INFO     | Experiment name: credit
2022-09-19 22:33:58 - INFO     | Metric(s): {'roc_auc': 0.7566610156276207}
2022-09-19 22:33:58 - INFO     | Run id: 21b9837df0bf492d8fb03cd3ffac172d
2022-09-19 22:33:58 - INFO     | Experiment id: 1
2022-09-19 22:33:58 - INFO     | Experiment name: credit
2022-09-19 23:08:33 - INFO     | (800, 20)
2022-09-19 23:08:33 - INFO     | 800
2022-09-19 23:08:33 - INFO     | (200, 20)
2022-09-19 23:08:33 - INFO     | 200
2022-09-19 23:09:29 - INFO     | Running experiment notebook for last run.
2022-09-19 23:09:36 - INFO     | Experiment id: 1
2022-09-19 23:09:36 - INFO     | Experiment name: credit
2022-09-19 23:09:36 - INFO     | Run id: 21b9837df0bf492d8fb03cd3ffac172d
2022-09-19 23:09:36 - INFO     | Metric(s): {'roc_auc': 0.7566610156276207}
2022-09-19 23:09:59 - INFO     | last run metrics: {'roc_auc': 0.7566610156276207}
2022-09-19 23:10:20 - INFO     | production run metrics: {'roc_auc': 0.7566610156276207}
2022-09-19 23:10:40 - INFO     | (800, 20)
2022-09-19 23:10:40 - INFO     | 800
2022-09-19 23:10:40 - INFO     | (200, 20)
2022-09-19 23:10:40 - INFO     | 200
2022-09-19 23:11:43 - INFO     | training X shape: (800, 20)
2022-09-19 23:11:43 - INFO     | training y length: 800
2022-09-19 23:11:43 - INFO     | test X shape: (200, 20)
2022-09-19 23:11:43 - INFO     | test y length: 200
2022-09-19 23:13:36 - INFO     | balance of y in training: [0.69875 0.30125]
2022-09-19 23:14:03 - INFO     | balance of y in test: [0.705 0.295]
2022-09-19 23:14:11 - INFO     | Best Score: 0.7566610156276207
2022-09-19 23:14:13 - INFO     | Best Params: {'model': 'RandomForestClassifier()', 'imputer': 'SimpleImputer()', 'scaler': 'None', 'pca': 'None', 'encoder': 'OneHotEncoder()'}
2022-09-19 23:19:54 - INFO     | Running experiment notebook for last run.
2022-09-19 23:20:07 - INFO     | Experiment id: 1
2022-09-19 23:20:07 - INFO     | Experiment name: credit
2022-09-19 23:20:07 - INFO     | Run id: 21b9837df0bf492d8fb03cd3ffac172d
2022-09-19 23:20:07 - INFO     | Metric(s): {'roc_auc': 0.7566610156276207}
2022-09-19 23:20:14 - INFO     | Running experiment notebook for last run.
2022-09-19 23:20:14 - INFO     | Experiment id: 1
2022-09-19 23:20:14 - INFO     | Experiment name: credit
2022-09-19 23:20:14 - INFO     | Run id: 21b9837df0bf492d8fb03cd3ffac172d
2022-09-19 23:20:14 - INFO     | Metric(s): {'roc_auc': 0.7566610156276207}
2022-09-19 23:20:14 - INFO     | last run metrics: {'roc_auc': 0.7566610156276207}
2022-09-19 23:20:15 - INFO     | production run metrics: {'roc_auc': 0.7566610156276207}
2022-09-19 23:20:16 - INFO     | training X shape: (800, 20)
2022-09-19 23:20:16 - INFO     | training y length: 800
2022-09-19 23:20:16 - INFO     | test X shape: (200, 20)
2022-09-19 23:20:16 - INFO     | test y length: 200
2022-09-19 23:20:16 - INFO     | balance of y in training: [0.69875 0.30125]
2022-09-19 23:20:16 - INFO     | balance of y in test: [0.705 0.295]
2022-09-19 23:20:16 - INFO     | Best Score: 0.7566610156276207
2022-09-19 23:20:16 - INFO     | Best Params: {'model': 'RandomForestClassifier()', 'imputer': 'SimpleImputer()', 'scaler': 'None', 'pca': 'None', 'encoder': 'OneHotEncoder()'}
2022-09-19 23:21:25 - INFO     | Best Score: 0.7566610156276207
2022-09-19 23:21:25 - INFO     | Best Params: {'model': 'RandomForestClassifier()', 'imputer': 'SimpleImputer()', 'scaler': 'None', 'pca': 'None', 'encoder': 'OneHotEncoder()'}
